"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибки авторизации с неверным email и паролем","424","Вход с неверными учетными данными","","2026-02-08","passed","2026-02-08","","Тесты авторизации пользователя","tests.LoginUserTest","loginWithInvalidCredentials"
"Тест использует реально работающие ингредиенты","1708","[ТЕСТ] Создание заказа с авторизацией (реальные ингредиенты)","","2026-02-08","passed","2026-02-08","","Тесты создания заказов","tests.CreateOrderTest","createOrderWithAuthAndRealIngredients"
"Проверка валидации - должен быть 400 (совпадает с документацией)","1716","[ТЕСТ] Создание заказа без ингредиентов","","2026-02-08","passed","2026-02-08","","Тесты создания заказов","tests.CreateOrderTest","createOrderWithoutIngredients"
"По документации: должен быть 401, реально: 400. Фиксируем баг","476","[ТЕСТ + БАГ] Создание заказа без авторизации","","2026-02-08","passed","2026-02-08","","Тесты создания заказов","tests.CreateOrderTest","createOrderWithoutAuth"
"Тест использует ингредиенты из документации. Баг: ингредиенты не работают","1839","[ТЕСТ + БАГ] Создание заказа с авторизацией (ингредиенты из доки)","","2026-02-08","passed","2026-02-08","","Тесты создания заказов","tests.CreateOrderTest","createOrderWithAuthAndDocIngredients"
"Проверка, что можно получить актуальные ID ингредиентов","1075","[ДОП ТЕСТ] Получение списка ингредиентов","","2026-02-08","passed","2026-02-08","","Тесты создания заказов","tests.CreateOrderTest","getIngredientsList"
"Проверка ошибки при попытке создать пользователя с уже существующим email","495","Создание уже зарегистрированного пользователя","","2026-02-08","passed","2026-02-08","","Тесты создания пользователя","tests.CreateUserTest","createExistingUser"
"Проверка ошибки при создании пользователя без заполнения обязательного поля email","702","Создание пользователя без обязательного поля","","2026-02-08","passed","2026-02-08","","Тесты создания пользователя","tests.CreateUserTest","createUserWithoutRequiredField"
"Проверка успешной авторизации с валидными учетными данными","6744","Вход под существующим пользователем","","2026-02-08","passed","2026-02-08","","Тесты авторизации пользователя","tests.LoginUserTest","loginWithValidCredentials"
"Проверка успешного создания нового пользователя с уникальными данными","1171","Создание уникального пользователя","","2026-02-08","passed","2026-02-08","","Тесты создания пользователя","tests.CreateUserTest","createUniqueUser"
"По документации: должен быть 500, реально: 400 или 500 с HTML. Фиксируем баг","2003","[ТЕСТ + БАГ] Создание заказа с неверным хешем ингредиентов","","2026-02-08","passed","2026-02-08","","Тесты создания заказов","tests.CreateOrderTest","createOrderWithInvalidIngredientHash"
